Master Code,Legacy Code,Category,Sub Category,Brand/Short Code,Item Name,Specification,Unit,Base Rate/Price,GST/TAX,HSN Code,Existing Image URL,Suggested Image Path,Suggested Image File,Match Score,Upload Status
MAT-000093,BATH000093,Bathroom Fittings,Bathroom Fitting,Grohe,Bathroom - Vanity Light - LED Spot - Grohe - ShinePoint,Bathroom - Vanity Light - LED Spot - Grohe - ShinePoint,Nos,"?1,150.00",18%,8550 80 90,,catalog_images/electrician_item_20.jpg,electrician_item_20.jpg,4,READY_FOR_IMAGE_UPLOAD
MAT-002557,TMT 002557,TMT Bars,TMT 8mm,Tata Steel,TMT Bars - 8mm - Tata Steel,TMT Bars - 8mm - Tata Steel,Meter,?58.00,18%,6925 21 00,,catalog_images/civil_fullform_15.jpg,civil_fullform_15.jpg,4,READY_FOR_IMAGE_UPLOAD
MAT-000128,BATH000128,Bathroom Fittings,Bathroom Fitting,Parryware,"Parryware CONNECTION PIPE 24""","Parryware CONNECTION PIPE 24""",Nos,?80.24,18%,8585 80 90,,catalog_images/civil_fullform_21.jpg,civil_fullform_21.jpg,4,READY_FOR_IMAGE_UPLOAD
MAT-000261,CLAD000261,Cladding Sheet,ACP Sheet 3mm Matte Finish,Generic,ACP Sheet 3mm Matte Finish,ACP Sheet 3mm Matte Finish,Sq. Ft.,?105.00,18%,8540 10 00,,catalog_images/civil_fullform_22.jpg,civil_fullform_22.jpg,4,READY_FOR_IMAGE_UPLOAD
MAT-000182,CAST000182,Cast Iron,Socketed,Generic,CI Pipe - Socketed - 100mm Dia - IS3989,CI Pipe - Socketed - 100mm Dia - IS3989,Kgs,?78.00,18%,7303 00 90,,catalog_images/drainage_item_1.jpg,drainage_item_1.jpg,3,READY_FOR_IMAGE_UPLOAD
MAT-000497,ELEC000497,Electrical-Conduit Pipes,Electrical,Finolex,PVC Elbow 25mm - Finolex,PVC Elbow 25mm - Finolex,Nos,?6.00,18%,8539 10 00,,catalog_images/drainage_item_2.jpg,drainage_item_2.jpg,3,READY_FOR_IMAGE_UPLOAD
MAT-000497,ELEC000497,Electrical-Conduit Pipes,Electrical,Finolex,PVC Elbow 25mm - Finolex,PVC Elbow 25mm - Finolex,Nos,?6.00,18%,8539 10 00,,catalog_images/drainage_item_3.jpg,drainage_item_3.jpg,3,READY_FOR_IMAGE_UPLOAD
MAT-000189,CAST000189,Cast Iron,Equal,Generic,CI Pipe Tee - 100mm - Equal - IS3989,CI Pipe Tee - 100mm - Equal - IS3989,Kgs,?82.00,18%,7310 00 90,,catalog_images/drainage_item_4.jpg,drainage_item_4.jpg,3,READY_FOR_IMAGE_UPLOAD
MAT-000942,HDPE000942,HDPE Pipe & Fitting,Elbow,Finolex,HDPE Elbow 32mm - Finolex,HDPE Elbow 32mm - Finolex,Nos,?9.90,18%,3945 23 90,,catalog_images/drainage_item_5.jpg,drainage_item_5.jpg,3,READY_FOR_IMAGE_UPLOAD
MAT-000943,HDPE000943,HDPE Pipe & Fitting,Reducer,Finolex,HDPE Reducer 32 x 25mm - Finolex,HDPE Reducer 32 x 25mm - Finolex,Nos,?7.70,18%,3946 23 90,,catalog_images/drainage_item_6.jpg,drainage_item_6.jpg,3,READY_FOR_IMAGE_UPLOAD
MAT-000942,HDPE000942,HDPE Pipe & Fitting,Elbow,Finolex,HDPE Elbow 32mm - Finolex,HDPE Elbow 32mm - Finolex,Nos,?9.90,18%,3945 23 90,,catalog_images/drainage_item_7.jpg,drainage_item_7.jpg,3,READY_FOR_IMAGE_UPLOAD
MAT-000187,CAST000187,Cast Iron,90?,Generic,CI Pipe Bend - 100mm - 90? - IS3989,CI Pipe Bend - 100mm - 90? - IS3989,Kgs,?80.00,18%,7308 00 90,,catalog_images/drainage_item_8.jpg,drainage_item_8.jpg,3,READY_FOR_IMAGE_UPLOAD
MAT-000096,BATH000096,Bathroom Fittings,Bathroom Fitting,Cera,Bathroom - Sensor Bin - 10L - Cera - CleanWave,Bathroom - Sensor Bin - 10L - Cera - CleanWave,Nos,"?1,950.00",18%,8553 80 90,,catalog_images/drainage_item_9.jpg,drainage_item_9.jpg,3,READY_FOR_IMAGE_UPLOAD
MAT-000131,BATH000131,Bathroom Fittings,Diverter,Jaquar,Jaquar Concealed body for Single Lever Diverter - 40mm,Jaquar Concealed body for Single Lever Diverter - 40mm,Nos,"?3,120.00",18%,8588 80 90,,catalog_images/drainage_item_10.jpg,drainage_item_10.jpg,3,READY_FOR_IMAGE_UPLOAD
MAT-000131,BATH000131,Bathroom Fittings,Diverter,Jaquar,Jaquar Concealed body for Single Lever Diverter - 40mm,Jaquar Concealed body for Single Lever Diverter - 40mm,Nos,"?3,120.00",18%,8588 80 90,,catalog_images/drainage_item_11.jpg,drainage_item_11.jpg,3,READY_FOR_IMAGE_UPLOAD
